CustomerID,Name,DateOfBirth,Gender,Address,PhoneNumber,Email,AccountBalance,AccountType,LastTransactionDate
5bc5f597-2471-4964-b6c9-dff0d2ae5606,Todd Evans,2005-05-23,Male,"0301 Barry Creek Apt. 453
West Molly, CT 62796",+1-465-939-6007x17902,xbest@example.org,642118,Credit,2020-07-11
58600b79-74f6-47ae-81b8-86f9d249c6bd,Sabrina Hunter,1990-09-24,Female,"952 Anne Lights Apt. 232
North Jillbury, MO 82727",(612)396-3904,jconway@example.org,296367,Credit,2021-11-18
79a352a0-1c2b-458a-8f26-044ea31d802d,Joshua Johnson,1959-07-29,Female,"96397 Jackson Plaza
Lake John, VI 75584",480.675.7650x6473,brendafreeman@example.com,570084,Checking,2023-11-26
b5ccff3a-29a6-4f07-9eef-428c3b150f6e,Theresa Levine,1964-07-16,Female,"501 David Forge Suite 357
Stevenland, NM 53826",6683233659,cnewman@example.org,139946,Credit,2021-07-04
547693d7-42fb-4dc6-996e-21b970106484,Aaron Richardson,1945-01-03,Male,"975 Barnes Flat
Turnerside, MD 92334",932-717-6634x7266,sarahkim@example.org,124419,Checking,2024-04-11
4550c327-80ff-4bc7-8fc0-63b5f23999d1,Daniel Powell,1958-01-13,Male,"USS Clark
FPO AA 96559",(489)415-2604x188,hernandezryan@example.com,865124,Savings,2021-06-22
2d2edd22-f9d9-4a59-b23c-23bb5a407583,Angela Mcintyre,1972-06-09,Male,"61163 Stacey Parkways Suite 156
Conradfurt, NH 31822",001-567-861-7964x4082,brettle@example.net,593572,Credit,2020-03-31
3c5c7011-40e8-4367-9955-a09e0c8c299a,Jason Gould,1989-07-20,Male,"PSC 6423, Box 2744
APO AE 18324",675.992.7317x382,morgangutierrez@example.net,869362,Checking,2024-01-24
ff2704d2-392a-45cc-8245-c162de2719ef,Nicole Mcneil,1982-02-27,Male,"857 Moore Village Apt. 401
Reyeschester, WY 64070",(536)276-1185x420,nguyenjessica@example.net,46330,Checking,2020-07-06
2bfb6b18-f629-4053-b73f-28b58dcd983f,Shirley Murray,1980-01-03,Female,"05688 Vaughn Rest
Murrayland, CT 22154",682-970-9751x3973,christyhawkins@example.com,560601,Credit,2022-11-23
7ddb5da2-7f30-480d-a0a5-d290af201f1f,James Lopez,1993-01-30,Female,"586 Ibarra Plains Apt. 976
Port Jeromestad, MH 75574",(278)428-5777x8632,trevor65@example.net,472784,Credit,2024-02-22
be437889-5a58-4c64-8090-ee2893dac576,Douglas Krueger,1991-01-24,Male,"USNV Khan
FPO AP 02007",+1-389-346-6855x241,matthew05@example.org,604533,Credit,2022-01-20
15deff30-39d8-4bb4-8f4b-65ac318a720a,Jill Lee,1986-05-11,Male,"91707 Juan Shore
Hamiltonview, RI 32864",920-233-9809,sandraclark@example.org,609179,Credit,2022-06-23
b4a3b43c-43f6-495d-8ed3-84fd4da3a1c6,John Barnett,1970-01-31,Male,"030 Anthony Streets Suite 236
Mckenzieshire, LA 45412",001-336-430-6513x4750,alex80@example.org,499353,Credit,2021-12-25
a68a3bf2-7fea-4ddc-9af4-4919ee235dda,Mike Pearson,1983-06-29,Male,"72186 Danny Haven Suite 444
Michelleburgh, WI 98653",404.504.5947x23978,qvance@example.org,943701,Credit,2023-08-04
